anio,categoria,n,part,variable,grupo
2016,Quintil 5,9823939,0.3842744183872383,quintil,visitante
2016,Quintiles 1 y 2,5382832,0.2105555252405593,quintil,visitante
2016,Quintiles 3 y 4,10358134,0.40517005637220244,quintil,visitante
2017,Quintil 5,10916518,0.35939289975912664,quintil,visitante
2017,Quintiles 1 y 2,6919787,0.2278127801965341,quintil,visitante
2017,Quintiles 3 y 4,12538580,0.41279432004433925,quintil,visitante
2018,Quintil 5,12375645,0.4496570249480333,quintil,visitante
2018,Quintiles 1 y 2,4925418,0.17896027273774354,quintil,visitante
2018,Quintiles 3 y 4,10221347,0.3713827023142232,quintil,visitante
2019,Quintil 5,11130858,0.41600239730466176,quintil,visitante
2019,Quintiles 1 y 2,4737973,0.17707602831378857,quintil,visitante
2019,Quintiles 3 y 4,10887885,0.4069215743815497,quintil,visitante
2020,Quintil 5,4870004,0.395975880128849,quintil,visitante
2020,Quintiles 1 y 2,2427004,0.1973376294919341,quintil,visitante
2020,Quintiles 3 y 4,5001731,0.40668649037921695,quintil,visitante
2021,Quintil 5,8065251,0.45013336146230465,quintil,visitante
2021,Quintiles 1 y 2,3253745,0.1815962298248581,quintil,visitante
2021,Quintiles 3 y 4,6598474,0.3682704087128372,quintil,visitante
2022,Quintil 5,13391757,0.43133448750899717,quintil,visitante
2022,Quintiles 1 y 2,5891715,0.18976597843539658,quintil,visitante
2022,Quintiles 3 y 4,11763795,0.3788995340556062,quintil,visitante
2023,Quintil 5,11269545.62,0.4193258844204489,quintil,visitante
2023,Quintiles 1 y 2,4205897.31,0.15649624827529973,quintil,visitante
2023,Quintiles 3 y 4,11399944.54,0.42417786730425133,quintil,visitante
2024,Quintil 5,5832632,0.41341101197110547,quintil,visitante
2024,Quintiles 1 y 2,2461506,0.1744690366944028,quintil,visitante
2024,Quintiles 3 y 4,5814417,0.41211995133449175,quintil,visitante
2012,14 a 29 años,6052673,0.2063604947464387,edad_tramos,visitante
2012,30 a 44 años,6907771,0.23551429941037647,edad_tramos,visitante
2012,45 a 59 años,7632065,0.2602084582030086,edad_tramos,visitante
2012,60 años o más,8738071,0.2979167476401762,edad_tramos,visitante
2013,14 a 29 años,6270675,0.20734423502726582,edad_tramos,visitante
2013,30 a 44 años,6990177,0.23113506963288447,edad_tramos,visitante
2013,45 a 59 años,7254390,0.23987145644439342,edad_tramos,visitante
2013,60 años o más,9727581,0.32164923889545627,edad_tramos,visitante
2014,14 a 29 años,5856895,0.20249561214186426,edad_tramos,visitante
2014,30 a 44 años,6661023,0.23029744085834508,edad_tramos,visitante
2014,45 a 59 años,6704231,0.23179130926633698,edad_tramos,visitante
2014,60 años o más,9701416,0.3354156377334537,edad_tramos,visitante
2015,14 a 29 años,5929504,0.21821473345729556,edad_tramos,visitante
2015,30 a 44 años,6329104,0.23292061905742928,edad_tramos,visitante
2015,45 a 59 años,6366968,0.23431407164092144,edad_tramos,visitante
2015,60 años o más,8547218,0.31455057584435375,edad_tramos,visitante
2016,14 a 29 años,5750935,0.2249542879193175,edad_tramos,visitante
2016,30 a 44 años,5339686,0.20886782094437667,edad_tramos,visitante
2016,45 a 59 años,5853376,0.228961382801931,edad_tramos,visitante
2016,60 años o más,8620908,0.3372165083343748,edad_tramos,visitante
2017,14 a 29 años,5690775,0.1873513265976151,edad_tramos,visitante
2017,30 a 44 años,6594596,0.21710686312063404,edad_tramos,visitante
2017,45 a 59 años,6874269,0.22631423954362295,edad_tramos,visitante
2017,60 años o más,11215245,0.3692275707381279,edad_tramos,visitante
2018,14 a 29 años,5525490,0.20076330524834127,edad_tramos,visitante
2018,30 a 44 años,5699697,0.2070929471656007,edad_tramos,visitante
2018,45 a 59 años,6107134,0.2218967743013784,edad_tramos,visitante
2018,60 años o más,10190089,0.37024697328467965,edad_tramos,visitante
2019,14 a 29 años,5507017,0.20581812057952104,edad_tramos,visitante
2019,30 a 44 años,5029620,0.1879759833007907,edad_tramos,visitante
2019,45 a 59 años,5608883,0.2096252395099608,edad_tramos,visitante
2019,60 años o más,10576126,0.39526995764353146,edad_tramos,visitante
2019,Ns./ Nr.,35070,0.001310698966196001,edad_tramos,visitante
2020,14 a 29 años,2675208,0.21751888547273018,edad_tramos,visitante
2020,30 a 44 años,2316375,0.18834247966397205,edad_tramos,visitante
2020,45 a 59 años,2681118,0.21799942254242488,edad_tramos,visitante
2020,60 años o más,4626038,0.3761392123208729,edad_tramos,visitante
2021,14 a 29 años,4272595,0.23845972673597332,edad_tramos,visitante
2021,30 a 44 años,3472322,0.1937953293629067,edad_tramos,visitante
2021,45 a 59 años,3657793,0.20414673500220734,edad_tramos,visitante
2021,60 años o más,6514760,0.36359820889891264,edad_tramos,visitante
2022,14 a 29 años,6681941,0.21521833145571234,edad_tramos,visitante
2022,30 a 44 años,6054637,0.19501352566717065,edad_tramos,visitante
2022,45 a 59 años,5472691,0.17626965362200803,edad_tramos,visitante
2022,60 años o más,12837998,0.413498489255109,edad_tramos,visitante
2023,14 a 29 años,4737892.39,0.17629112865028398,edad_tramos,visitante
2023,30 a 44 años,6658878.82,0.24776866296097352,edad_tramos,visitante
2023,45 a 59 años,4262461.8,0.15860094314018833,edad_tramos,visitante
2023,60 años o más,11216154.46,0.41733926524855425,edad_tramos,visitante
2024,14 a 29 años,2420709,0.17157738691170002,edad_tramos,visitante
2024,30 a 44 años,4025120,0.285296403494192,edad_tramos,visitante
2024,45 a 59 años,2218056,0.15721354880070992,edad_tramos,visitante
2024,60 años o más,5444670,0.38591266079339803,edad_tramos,visitante
2012,Mujer,15028296,0.5123763662361944,sexo,visitante
2012,Varón,14302284,0.4876236337638056,sexo,visitante
2013,Mujer,15208296,0.5028728964885322,sexo,visitante
2013,Varón,15034527,0.4971271035114678,sexo,visitante
2014,Mujer,14654240,0.5066540034051819,sexo,visitante
2014,Varón,14269325,0.4933459965948181,sexo,visitante
2015,Mujer,14030281,0.5163356039132376,sexo,visitante
2015,Varón,13142513,0.48366439608676237,sexo,visitante
2016,Mujer,13261431,0.51873578251122,sexo,visitante
2016,Varón,12303474,0.48126421748878,sexo,visitante
2017,Mujer,15844440,0.5216296292150571,sexo,visitante
2017,Varón,14530445,0.4783703707849429,sexo,visitante
2018,Mujer,14369841,0.5221141971215457,sexo,visitante
2018,Varón,13152569,0.47788580287845434,sexo,visitante
2019,Mujer,13977192,0.5223806987374684,sexo,visitante
2019,Varón,12779524,0.4776193012625316,sexo,visitante
2020,Mujer,6397175,0.5201488542849799,sexo,visitante
2020,Varón,5901564,0.4798511457150201,sexo,visitante
2021,Mujer,9106265,0.508233863374684,sexo,visitante
2021,Varón,8811205,0.491766136625316,sexo,visitante
2022,Mujer,15555282,0.5010193650861443,sexo,visitante
2022,Varón,15491985,0.4989806349138557,sexo,visitante
2023,Mujer,13699047.32,0.5097246443531926,sexo,visitante
2023,Varón,13176340.15,0.4902753556468074,sexo,visitante
2024,Mujer,6991657,0.49556152277820087,sexo,visitante
2024,Varón,7116898,0.5044384772217991,sexo,visitante
2012,Desocupado,881413,0.03005099114985111,ocupacion,visitante
2012,Inactivo,7630242,0.2601463046417766,ocupacion,visitante
2012,Menor de 14 años,6052673,0.2063604947464387,ocupacion,visitante
2012,Ns./ Nr.,233118,0.00794795056899659,ocupacion,visitante
2012,Ocupado,14533134,0.495494258892937,ocupacion,visitante
2013,Desocupado,682089,0.022553747710655186,ocupacion,visitante
2013,Inactivo,8449162,0.27937742452151376,ocupacion,visitante
2013,Menor de 14 años,6270675,0.20734423502726582,ocupacion,visitante
2013,Ns./ Nr.,290172,0.009594739221269126,ocupacion,visitante
2013,Ocupado,14550725,0.48112985351929616,ocupacion,visitante
2014,Desocupado,522353,0.01805977236900085,ocupacion,visitante
2014,Inactivo,8500624,0.2938995936358468,ocupacion,visitante
2014,Menor de 14 años,5856895,0.20249561214186426,ocupacion,visitante
2014,Ns./ Nr.,179044,0.006190246603418354,ocupacion,visitante
2014,Ocupado,13864649,0.4793547752498698,ocupacion,visitante
2015,Desocupado,548011,0.02016763531935656,ocupacion,visitante
2015,Inactivo,7755224,0.2854039963648935,ocupacion,visitante
2015,Menor de 14 años,5929504,0.21821473345729556,ocupacion,visitante
2015,Ns./ Nr.,211545,0.007785176599800521,ocupacion,visitante
2015,Ocupado,12728510,0.46842845825865387,ocupacion,visitante
2016,Desocupado,650631,0.025450163026226776,ocupacion,visitante
2016,Inactivo,7271964,0.28445104724621506,ocupacion,visitante
2016,Menor de 14 años,5750935,0.2249542879193175,ocupacion,visitante
2016,Ns./ Nr.,326474,0.012770397543038004,ocupacion,visitante
2016,Ocupado,11564901,0.45237410426520264,ocupacion,visitante
2017,Desocupado,574482,0.018913059259319007,ocupacion,visitante
2017,Inactivo,9348544,0.3077721611127087,ocupacion,visitante
2017,Menor de 14 años,5690775,0.1873513265976151,ocupacion,visitante
2017,Ns./ Nr.,300378,0.009889025094251385,ocupacion,visitante
2017,Ocupado,14460706,0.47607442793610577,ocupacion,visitante
2018,Desocupado,539294,0.01959472299119154,ocupacion,visitante
2018,Inactivo,8611929,0.3129060645488531,ocupacion,visitante
2018,Menor de 14 años,5525490,0.20076330524834127,ocupacion,visitante
2018,Ns./ Nr.,285710,0.010380994978274069,ocupacion,visitante
2018,Ocupado,12559987,0.45635491223334,ocupacion,visitante
2019,Desocupado,839936,0.0313915952914401,ocupacion,visitante
2019,Inactivo,7785243,0.29096407047860434,ocupacion,visitante
2019,Menor de 14 años,5507017,0.20581812057952104,ocupacion,visitante
2019,Ns./ Nr.,260079,0.009720139048454228,ocupacion,visitante
2019,Ocupado,12364441,0.4621060746019803,ocupacion,visitante
2020,Desocupado,373227,0.030346769697283598,ocupacion,visitante
2020,Inactivo,3429936,0.27888517676486996,ocupacion,visitante
2020,Menor de 14 años,2675208,0.21751888547273018,ocupacion,visitante
2020,Ns./ Nr.,39129,0.003181545685293427,ocupacion,visitante
2020,Ocupado,5781239,0.47006762237982286,ocupacion,visitante
2021,Desocupado,451592,0.025204004806482164,ocupacion,visitante
2021,Inactivo,4452165,0.2484817890025768,ocupacion,visitante
2021,Menor de 14 años,4272595,0.23845972673597332,ocupacion,visitante
2021,Ns./ Nr.,397515,0.022185888967583035,ocupacion,visitante
2021,Ocupado,8343603,0.4656685904873847,ocupacion,visitante
2022,Desocupado,783699,0.025242125176428574,ocupacion,visitante
2022,Inactivo,8308939,0.2676222354772805,ocupacion,visitante
2022,Menor de 14 años,6681941,0.21521833145571234,ocupacion,visitante
2022,Ns./ Nr.,442878,0.01426463720623139,ocupacion,visitante
2022,Ocupado,14829810,0.4776526706843472,ocupacion,visitante
2023,Desocupado,913517.71,0.033990866588239,ocupacion,visitante
2023,Inactivo,8848709.2,0.32924954886241126,ocupacion,visitante
2023,Menor de 14 años,4737892.39,0.17629112865028398,ocupacion,visitante
2023,Ns./ Nr.,251242.36,0.00934841814952259,ocupacion,visitante
2023,Ocupado,12124025.81,0.45112003774954323,ocupacion,visitante
2024,Desocupado,425273,0.030142916833084607,ocupacion,visitante
2024,Inactivo,5392915,0.3822443191382817,ocupacion,visitante
2024,Menor de 14 años,2420709,0.17157738691170002,ocupacion,visitante
2024,Ocupado,5869658,0.41603537711693367,ocupacion,visitante
2012,Menor de 14 años,6052673,0.2063604947464387,educacion,visitante
2012,Ns./ Nr.,4522,1.5417356220027016e-4,educacion,visitante
2012,Post grado / maestría / doctorado incompleto o completo,442009,0.015069903152273157,educacion,visitante
2012,Primario completo,2597804,0.08856981348476572,educacion,visitante
2012,Primario incompleto,832767,0.028392449109427773,educacion,visitante
2012,Secundario completo,4878418,0.16632531644447535,educacion,visitante
2012,Secundario incompleto,4271088,0.14561894105060316,educacion,visitante
2012,Sin instrucción / nunca asistió,87569,0.0029855870562395972,educacion,visitante
2012,Terciario completo,2206118,0.07521562819419186,educacion,visitante
2012,Terciario incompleto,1075106,0.03665478146016887,educacion,visitante
2012,Universitario completo,3627282,0.1236689489263424,educacion,visitante
2012,Universitario incompleto,3255224,0.11098396281287312,educacion,visitante
2013,Menor de 14 años,6270675,0.20734423502726582,educacion,visitante
2013,Post grado / maestría / doctorado incompleto o completo,425722,0.014076794352167455,educacion,visitante
2013,Primario completo,3015156,0.09969823253603012,educacion,visitante
2013,Primario incompleto,796935,0.02635121066575035,educacion,visitante
2013,Secundario completo,5315113,0.175747912157539,educacion,visitante
2013,Secundario incompleto,4174734,0.13804048649823464,educacion,visitante
2013,Sin instrucción / nunca asistió,110746,0.0036618936003427987,educacion,visitante
2013,Terciario completo,2530681,0.08367872933026127,educacion,visitante
