"provincia","anio","hoteles","restaurantes","vab_total","porc_hoteles","porc_restaurantes","porc_hyr"
"Córdoba",2022,244.898167766231,578.996386460881,51617.3115650265,0.0047444967655418,0.0112170969177942,0.015961593683336
"Córdoba",2023,264.356485979098,643.658765598527,47892.307092713,0.00551981105164426,0.0134397109822354,0.0189595220338797
"Corrientes",2004,56.8768669417846,68.1540337364628,4777.10315769382,0.0119061416645736,0.0142668122262959,0.0261729538908695
"Corrientes",2005,55.2344950383654,119.914034901411,5418.79520730381,0.0101931320386341,0.0221292797225079,0.032322411761142
"Corrientes",2006,67.2285384105125,207.831800022686,5701.32127647516,0.0117917470618454,0.0364532693290314,0.0482450163908768
"Corrientes",2007,65.3325130196065,159.988060522991,6082.05079870568,0.0107418558611036,0.0263049530196358,0.0370468088807394
"Corrientes",2008,61.6895035865718,151.767877697344,6338.25489029815,0.00973288462743882,0.0239447419398756,0.0336776265673145
"Corrientes",2009,56.0895692818908,126.584920045603,6140.48110004159,0.00913439327767183,0.0206148212140488,0.0297492144917206
"Corrientes",2010,65.6197752479974,131.773833723007,6489.82856528309,0.0101111723657888,0.0203046709782016,0.0304158433439904
"Corrientes",2011,72.9452577344992,143.028640016863,7120.27598459956,0.0102447233635708,0.0200875135073724,0.0303322368709432
"Corrientes",2012,86.4204900094394,145.87455386793,7156.20167053853,0.0120763072350553,0.020384354799346,0.0324606620344013
"Corrientes",2013,101.709487882486,155.612707942663,7340.99906134296,0.0138549926287389,0.0211977561422267,0.0350527487709656
"Corrientes",2014,100.180015046908,160.346792532012,7367.16699123154,0.0135981735131215,0.0217650546978042,0.0353632282109257
"Corrientes",2015,112.127323011677,160.409565927581,7568.68709550765,0.0148146331849588,0.0211938429880119,0.0360084761729707
"Corrientes",2016,114.948544380186,169.074412890376,7413.74326713122,0.0155047916063953,0.0228055392260434,0.0383103308324387
"Corrientes",2017,126.535704441355,177.303346671847,7769.9566131324,0.0162852523819104,0.0228190909550483,0.0391043433369587
"Corrientes",2018,144.445628765086,185.360470368414,7861.25618146088,0.0183743698756098,0.0235789886615765,0.0419533585371863
"Corrientes",2019,138.82698218091,182.88450201354,7578.93887185587,0.0183174695730083,0.0241306210679011,0.0424480906409095
"Corrientes",2020,50.9276610213639,104.56636813502,6917.27288950529,0.00736239003937954,0.0151167041990877,0.0224790942384672
